year,month,kill_count,wounded_count,date
2001,1,0.0,0.0,2001-1-01
2001,2,0.0,4.0,2001-2-01
2001,3,5.0,8.0,2001-3-01
2001,5,10.0,30.0,2001-5-01
2001,8,,,2001-8-01
2001,9,7.0,15.0,2001-9-01
2001,12,2.0,2.0,2001-12-01
2002,1,0.0,1.0,2002-1-01
2002,4,15.0,81.0,2002-4-01
2002,5,0.0,6.0,2002-5-01
2002,6,19.0,24.0,2002-6-01
2002,7,3.0,0.0,2002-7-01
2002,8,21.0,98.0,2002-8-01
2002,9,15.0,69.0,2002-9-01
2002,10,0.0,0.0,2002-10-01
2002,11,0.0,13.0,2002-11-01
2002,12,1.0,5.0,2002-12-01
2003,1,54.0,59.0,2003-1-01
2003,2,1.0,3.0,2003-2-01
2003,3,8.0,15.0,2003-3-01
2003,4,10.0,0.0,2003-4-01
2003,5,4.0,6.0,2003-5-01
2003,6,10.0,37.0,2003-6-01
2003,7,19.0,7.0,2003-7-01
2003,8,24.0,3.0,2003-8-01
2003,9,20.0,21.0,2003-9-01
2003,10,0.0,1.0,2003-10-01
2003,11,11.0,5.0,2003-11-01
2003,12,2.0,29.0,2003-12-01
2004,1,48.0,64.0,2004-1-01
2004,2,24.0,10.0,2004-2-01
2004,3,5.0,0.0,2004-3-01
2004,4,21.0,9.0,2004-4-01
2004,5,6.0,3.0,2004-5-01
2004,6,85.0,77.0,2004-6-01
2004,7,19.0,41.0,2004-7-01
2004,8,23.0,22.0,2004-8-01
2004,9,3.0,6.0,2004-9-01
2004,10,30.0,27.0,2004-10-01
2004,11,9.0,0.0,2004-11-01
2004,12,2.0,4.0,2004-12-01
2005,1,14.0,17.0,2005-1-01
2005,2,11.0,0.0,2005-2-01
2005,3,7.0,36.0,2005-3-01
2005,4,17.0,0.0,2005-4-01
2005,5,41.0,116.0,2005-5-01
2005,6,38.0,56.0,2005-6-01
2005,7,74.0,43.0,2005-7-01
2005,8,21.0,23.0,2005-8-01
2005,9,39.0,42.0,2005-9-01
2005,10,45.0,26.0,2005-10-01
2005,11,20.0,26.0,2005-11-01
2005,12,40.0,26.0,2005-12-01
2006,1,42.0,47.0,2006-1-01
2006,2,66.0,61.0,2006-2-01
2006,3,22.0,10.0,2006-3-01
2006,4,45.0,76.0,2006-4-01
2006,5,57.0,48.0,2006-5-01
2006,6,57.0,33.0,2006-6-01
2006,7,71.0,151.0,2006-7-01
2006,8,115.0,172.0,2006-8-01
2006,9,99.0,175.0,2006-9-01
2006,10,72.0,79.0,2006-10-01
2006,11,26.0,32.0,2006-11-01
2006,12,59.0,38.0,2006-12-01
2007,1,21.0,26.0,2007-1-01
2007,2,47.0,77.0,2007-2-01
2007,3,41.0,64.0,2007-3-01
2007,4,94.0,117.0,2007-4-01
2007,5,64.0,73.0,2007-5-01
2007,6,181.0,140.0,2007-6-01
2007,7,91.0,126.0,2007-7-01
2007,8,128.0,73.0,2007-8-01
2007,9,150.0,106.0,2007-9-01
2007,10,43.0,65.0,2007-10-01
2007,11,244.0,201.0,2007-11-01
2007,12,93.0,80.0,2007-12-01
2008,1,93.0,90.0,2008-1-01
2008,2,162.0,159.0,2008-2-01
2008,3,106.0,115.0,2008-3-01
2008,4,112.0,167.0,2008-4-01
2008,5,83.0,52.0,2008-5-01
2008,6,71.0,69.0,2008-6-01
2008,7,157.0,233.0,2008-7-01
2008,8,46.0,30.0,2008-8-01
2008,9,47.0,44.0,2008-9-01
2008,10,72.0,67.0,2008-10-01
2008,11,68.0,196.0,2008-11-01
2008,12,72.0,108.0,2008-12-01
2009,1,41.0,49.0,2009-1-01
2009,2,37.0,41.0,2009-2-01
2009,3,73.0,79.0,2009-3-01
2009,4,62.0,126.0,2009-4-01
2009,5,134.0,268.0,2009-5-01
2009,6,87.0,161.0,2009-6-01
2009,7,145.0,126.0,2009-7-01
2009,8,169.0,216.0,2009-8-01
2009,9,137.0,181.0,2009-9-01
2009,10,75.0,177.0,2009-10-01
2009,11,57.0,57.0,2009-11-01
2009,12,47.0,113.0,2009-12-01
2010,1,73.0,95.0,2010-1-01
2010,2,70.0,152.0,2010-2-01
2010,3,99.0,162.0,2010-3-01
2010,4,38.0,82.0,2010-4-01
2010,5,106.0,194.0,2010-5-01
2010,6,132.0,220.0,2010-6-01
2010,7,90.0,123.0,2010-7-01
2010,8,183.0,183.0,2010-8-01
2010,9,80.0,200.0,2010-9-01
2010,10,62.0,57.0,2010-10-01
2010,11,54.0,102.0,2010-11-01
2010,12,71.0,55.0,2010-12-01
2011,1,77.0,88.0,2011-1-01
2011,2,126.0,183.0,2011-2-01
2011,3,92.0,141.0,2011-3-01
2011,4,32.0,29.0,2011-4-01
2011,5,168.0,211.0,2011-5-01
2011,6,152.0,232.0,2011-6-01
2011,7,123.0,112.0,2011-7-01
2011,8,93.0,121.0,2011-8-01
2011,9,125.0,196.0,2011-9-01
2011,10,114.0,105.0,2011-10-01
2011,11,224.0,138.0,2011-11-01
2011,12,195.0,385.0,2011-12-01
2012,1,204.0,442.0,2012-1-01
2012,2,165.0,177.0,2012-2-01
2012,3,256.0,199.0,2012-3-01
2012,4,344.00000000000017,499.0000000000002,2012-4-01
2012,5,403.0,845.0,2012-5-01
2012,6,460.0,678.0,2012-6-01
2012,7,425.0,375.0,2012-7-01
2012,8,312.0,378.0,2012-8-01
2012,9,299.0,358.0,2012-9-01
2012,10,317.0,271.0,2012-10-01
2012,11,179.0,275.0,2012-11-01
2012,12,157.0,156.0,2012-12-01
2013,1,137.0,455.0,2013-1-01
2013,2,107.0,118.0,2013-2-01
2013,3,228.00000000000003,195.99999999999997,2013-3-01
2013,4,315.0,283.0,2013-4-01
2013,5,420.99999999999994,724.0,2013-5-01
2013,6,404.0,350.0,2013-6-01
2013,7,376.0,403.0,2013-7-01
2013,8,600.0,522.0,2013-8-01
2013,9,358.0,468.0,2013-9-01
2013,10,315.0,276.0,2013-10-01
2013,11,183.0,254.0,2013-11-01
2013,12,252.00000000000003,272.0,2013-12-01
2014,1,285.00000000000006,227.0,2014-1-01
2014,2,216.0,226.0,2014-2-01
2014,3,372.0,338.0,2014-3-01
2014,4,371.99999999999994,324.00000000000006,2014-4-01
2014,5,521.0,442.00000000000006,2014-5-01
2014,6,473.0,405.0,2014-6-01
2014,7,821.0,588.0,2014-7-01
2014,8,582.0,491.99999999999994,2014-8-01
2014,9,641.0,798.0000000000001,2014-9-01
2014,10,359.0,416.0,2014-10-01
2014,11,403.0,513.0,2014-11-01
2014,12,368.0,342.0,2014-12-01
2015,1,296.0,282.0,2015-1-01
2015,2,178.0,179.0,2015-2-01
2015,3,296.0,366.0,2015-3-01
2015,4,531.0,758.0,2015-4-01
2015,5,779.0,753.0,2015-5-01
2015,6,675.0,760.0,2015-6-01
2015,7,549.0,589.0,2015-7-01
2015,8,506.0,1043.0,2015-8-01
2015,9,876.0,1226.0,2015-9-01
2015,10,798.0,472.0,2015-10-01
2015,11,280.0,256.0,2015-11-01
2015,12,444.0,274.0,2015-12-01
